,Presentations slides,Tools to be made,Typos checked (From column E - L),,,,HARD ENTER,HARD ENTER,HARD ENTER,HARD ENTER,HARD ENTER,,,,
37,HUMAN CENTERED DESIGN,IDEATION,Service Blueprint,"While a Journey Map focuses on the user journey, the Service Blueprint combines the user and service provider journeys into one frame. The tool helps connect front-end experience (user and service provider) with back-end processes and systems. The Blueprint is one of the core tools for service design.","Connecting front-end and back-end activities and processes can be both confusing and cumbersome. The stages on the template are just one way to think of the journey, teams using the tool should customise it for their own purpose.",60 Min,"Create a holistic service solution that accounts for both front-end, and back-end elements.
Evaluate how back-end processes and systems may be impacting current user experience, and vice versa.
","Map the user journey: Start by creating a user journey map with key touch-points and interactions. This could be of an existing journey or a future journey, depending on your focus.
Map the service provider journey: Once the user journey has been mapped, list the key actions and systems from the service provider point of view. Also, identify any third party/external dependencies that the service provider may have.
Review the blueprint: Discuss the emerging blueprint, and what it means in terms of considerations for the service provider.
","In the top most row of the template, there are three broad phases called out - Awareness Building, Service Delivery, and Retention. These are classic user journey phases — it is okay for the team to reframe as per their need.
'User Touch-points' are the key user tasks and interactions that comprise the front-end experience. To build detail, it is recommended that teams map people-people interactions, digital interactions, objects, environments, and messaging that together make up this front-end experience.
'Service Touch-points' are the key service provider tasks, processes and systems. These are both front end (involved in interactions with users) and those that comprise the back-end.
'External Actors' are third party vendors, partners and stakeholders who have a strong influence on back-end systems and processes (and sometimes even on front-end experience).
","At the start: Make sure participants understand the goal of the activity and the key parts of the template.
During the exercise: Help participants map user journeys first, and then connect these with service provider journeys, and back-end processes and systems. Discuss how external actors are involved.
At the close: Have participants share their blueprints, and discuss emerging challenges and opportunities.
","Do we know enough about the front-end and back-end?
Is the user journey specific to a particular user type or is it generic and applicable to all types of users?
What are the steps of the journey that we want to cover? Where does it start and end? Which steps are we the clearest about?
What does the user do at each step? What are objects, environments, interactions, and messaging that together make up the front-end experience?
What are the service provider actions at each step? What are the key processes, systems that are operating in the back-end for the service provider?
How do external actors contribute to the service experience?
What are some challenges and opportunities emerging from the blueprint?
",,,https://www.youtube.com/watch?v=PI_DLmjs4JU,Service Blueprint | DIY Toolkit
38,HUMAN CENTERED DESIGN,PROTOTYPING,Storyboarding,"A Storyboard helps visualise a process or service end-to-end. Inspired by film makers and comics, storyboards help users and stakeholders understand, and react to a proposed product or service solution.","While Storyboarding is a great way to share what a product or service experience looks like, visual styles, icons and symbols used have an impact on user feedback.",30 Min,Prototype and test product and service experiences.,"Outline the key steps: Start by discussing as a team the key stages, user actions and interactions along the experience journey.
Visualise the touch-points: Break the experience down into key interactions that can be depicted as scenes or frames. In each scene, clearly convey how the service is being provided, through simple illustrations and notes. Try to capture objects, people and spaces part of the experience.
Test & Refine: Test storyboards with different users, and record points of improvement.
","Storyboards are visualisations in comic book style that aim to communicate important aspects of a product or service experience.
Storyboards try and cover not just people interactions but also document objects, environments, and messaging (think POEMS) that make up a complete service experience.
A storyboard is a combination of illustrations, descriptive text, and dialogue (to represent interaction between users and service providers).
A storyboard may focus on the entire end-to-end journey, or just a specific user task / part of the service, for example, opening a new bank account, submitting KYC documents, depositing loan payments, etc.
While there is no set number of scenes that can be part of a storyboard. However, 3-10 frames are a safe target to aim for - 3 for simple stories focused on a key service aspect, and 10 if one is trying to capture the essence of a complete end-to-end experience.
","At the start: Make sure the team has a clear understanding of the key steps of their service.
During the exercise: Help teams prioritise aspects of their service to visualise. Help them create clear and complete scenes, while not wasting time on unnecessary detail.
At the close: Have participants present the storyboards to another group, and refine based on feedback. Once testing with users (or any other audience) is over, discuss learnings and decisions.
","Are you going to be creating storyboards for the entire journey? Or a select part of the journey?
Are the storyboards simple enough to understand? Do you want to add descriptions under each scene?
Who are key people or actors in your storyboard?
How are you capturing objects, environments, and messaging that might be part of the service?
Have you clearly shown the various phases and touch-points the experience is built upon?
How do you plan to test the storyboards? Who will you test them with?
",,1,https://www.youtube.com/watch?v=R_vLIaUYHSo,Storyboarding | NNGroup
39,HUMAN CENTERED DESIGN,PROTOTYPING,Wire-framing,Wire-framing is a form of prototyping that is used specifically for the design of digital products and services. Wireframes are visualisations of web or app screens that users will come across at various points of their journey.,"Wireframes are basic visualisations, that do not offer the full experience that well designed screens may create, while testing, it's important to keep that in mind.",60 Min,"Prototype and test digital product and service experiences.
","Outline the key steps: Start by discussing the key stages, user actions and interactions along the experience journey. Refer to the Journey Map and Service Blueprint tools if they have been already developed.
Visualise the touch-points: For each step in the service journey, identify the screens necessary to bring the concept to life, and draw them out. Design different versions of the wireframes if the intent is to do A/B testing.
Connect the screens: Connect the different screens by linking how a button may lead from one screen to another.
Test & Refine: Test wireframes with different users, and record points of improvement.
","Wireframes are basic visualisations, basic boxes and text that are used to represent digital screens.
It is rare for designers to build wireframes for each and every step of a service journey, the focus is usually on key screens and interactions. Alternatively, detailed wireframes are often built for one part of the journey. For example, on-boarding screens, learning section, profile pages, etc.
Typically, phone outlines are used to communicate that the screens are meant for an app. Similarly for web screens, a laptop outline can be used.
Screens are connected by drawing lines between them. Lines represent how buttons and links connect screens to each other.
Wireframes are tested with users in the form of paper prints or as interactive prototypes (where buttons actually work). An interactive digital prototype can be created by using basic software like PowerPoint or professional design software like Zeplin or Invision.
Testing of wireframes can be done through two approaches; aided (where designers explain each screen to users) and unaided (no explanations given to user). Teams should use a mix of both.
","At the start: Make sure the team has a clear understanding of the key steps of their service.
During the exercise: Help teams prioritise screens to prototype. Help them create clear wireframes, while not wasting time on adding unnecessary detail. Ensure teams think about screen flows and connections.
At the close: Have participants present the wireframes to another group and refine their screens based on the feedback. If they are taking wireframes to users for testing, help them prepare for the test. Once the testing is over, discuss learnings and refinement.
","Are you going to be building wireframes for the entire journey? Or a select part of the journey?
Are you making screens for an application or for a website?
Are the wireframes simple enough to understand? Do you want to add descriptions under each screen?
How are the screens you have created connected to each other?
How do you plan to test the screens? Who will you test them with?
",,1,https://www.youtube.com/watch?v=JMjozqJS44M,Paper Prototyping | Google Startup
40,HUMAN CENTERED DESIGN,PROTOTYPING,Role-Plays,"Role-Playing allows teams to imagine their service or product in context. They are used to depict people-people, and people-object interactions that form part of a service.",Scripts are required before a team can do a Role Play. It may also be difficult to get a full sense of a service being prototyped without the use of appropriate props (which could be one of the other kinds of prototypes developed).,60 Min,"Prototype service experiences that involve people-people, and people-object interactions.",,,,,1,1,https://magazine.startus.cc/design-thinking-prototypes-to-roleplay/,Design Thinking | Startus Magazine
41,HUMAN CENTERED DESIGN,PROTOTYPING,Mobile Interface Design Best Practices,The Mobile Interface Design Best Practices are a set of guidelines that inform teams on how they must approach the design of app based products and prototypes.,"The guidelines are merely a starting list of principles that cover the basics of mobile interface design, they are not exhaustive.",30 Min,"Design screen based prototypes.
Create mobile based products that are easy to use.
",,,,,1,,https://www.cgap.org/sites/default/files/publications/slidedeck/principlesofsmartphonedesign05oct16-161005230428.pdf,Principles for UI/UX Design | CGAP
42,HUMAN CENTERED DESIGN,TESTING,A-B-n Testing,"A/B testing, at its most basic, is an experiment to compare two versions of a prototype (product or service) and figure which performs better. A/B/n testing involves testing at least three variations of something. The “n” refers to the number of variations that can be tested. While the term is generally used in the context of web development, the approach is relevant to other testing contexts too.","It may not be feasible to comprehensively test each aspect of the design. The decision on what is to be tested, how many versions have to be tested, and why lies with the teams.",60Min+,"Test low-fidelity service or product concepts and prototypes.
Test high fidelity experienceable prototypes, close to final production.
Test variations of specific components, journeys, features, etc. for a product or service already in use, especially digital.
","Familiarise yourself: Read through the template and discuss the testing requirements. Note down the purpose of the test and key metrics.
Outline versions, format and scope: Note down the format that the test would take and the kind of assets that would need to be developed (if not done already). Make a note of how the versions differs from each other.
Identify tester profile: Note down the kind of testers and users the testing will be focused on. Profiles, segments, groups, etc. can be mentioned here along with the sample size.
Conduct the test: Use the tool as guidance as you go about the test.
Test learnings and review: Once the tests are done, note down the results and learnings in this section. If a version meets the purpose, move ahead. Otherwise, discuss iteration of versions and further testing needs.
","The ‘Purpose of Test’ section is meant to note down the key reason for which the test is being conducted. This could be drawn from one of the use cases.
The ‘Key Metrics of Success/Failure’ box is meant to note down the key metrics based on which test results will be evaluated. For example, time spent, signup, purchase, feedback score, etc.
‘Testing Formats’ is the section in which the format of the experiment has to be described. For example, visual concept test, interactive screen test, test with app users, etc. The test may involve studying actual use of a product or service, or may involve recording feedback for concepts (similar level to scenarios and card sort).
‘Testing Scope’ is the section in which the designer has to define how versions are different from each other, along with rationale on why the differences are relevant. This would include specifying constants and variables in each version.
‘Tester Profile’ is the section in which the designer needs to identify who the different versions are to be tested with. Usually, in A/B testing there is a ‘Control’ group that a base version is tested with, and ‘Treatment’ groups with which different versions are tested.
‘Test Learnings’ is the section in which one has to note down the results of testing, in terms of metrics achieved and feedback received from testers.
Note: Tests are considered valid if different groups of a single user type test all versions (for example, within existing customers — groups 1,2,n test versions A,B,n). Tests are also valid if different versions are tested with one group of one customer type (for example, group 1 of customers test version A,B,n). Tests are invalid if different versions are tested with different types of users (for example, A with existing customers, B with new customers, C with not customers), as relevant comparisons cannot be made.
","At the start: Make sure the participants understand the goal of the activity and the direction. Refer to facilitation questions if they are feeling stuck.
During the exercise: Start with a discussion on testing approaches that each of the teams have used before. Walk through the tool and its components. Discuss why testing is required and what is the most crucial aspect to test.
At the close: Have participants walk you through the worksheet they have filled out. Probe them on their final testing plans, versions and approaches.
","What are some testing approaches you may have used before? Does anyone know what A/B/n testing is?
What is the purpose of the testing you want to do? Do your prototypes reflect that?
How will you measure testing results? What metrics are key?
What is the format of testing? Are you asking respondents to use different versions of your product or service? Or are you presenting concepts and asking them to provide feedback?
How do your versions differ from each other? What remains constant? What are some variables?
Who are you going to test with? Do you have clarity on the different types of customers? Are you going to test with all or just a specific type?
Are you going to take all versions to some users? Who are these and why do you think that is useful?
How much time will you need to get testing done? Is that time practical?
How will you record results?
",,,https://www.youtube.com/watch?v=R1jAoOvWRN0,User Testing | PlaybookUX
43,BEHAVIOUR DESIGN,UNDERSTANDING BEHAVIOUR CHANGE,Design with Intent,"The Design with Intent toolkit lists multiple strategies and considerations for the design of products and services. The strategies listed are informed by fundamental behavioural and heuristic frameworks, and apply themselves to a range of contexts and challenges.","The tool is exhaustive, and has themes and specific case studies that might not at first feel relevant to everyone. It is important to look beyond the examples, and ask how the strategies may apply to a different context.",60 Min,"Learn about behavioural and design strategies from various domains.
Apply behavioural and design strategies to product/service/system specific problems and opportunities.
",,,,,1,,http://designwithintent.co.uk/,"Design with Intent | Dan Lockton, PhD"
44,BEHAVIOUR DESIGN,UNDERSTANDING BEHAVIOUR CHANGE,Design & Ethics,"This is a short primer for organisations to consider the ethics of their solutions. As ethics in business and design become increasingly difficult to manoeuvre, it is important that service providers spend time reflecting on their impact.","Discussing ethics can be challenging — the primer is by no means exhaustive, and is meant to kick start a conversation on ethics rather than address all challenges.",60 Min,"Challenge the ethics behind a successful product or service.
Sensitise teams to the possible impact of their work and their accountability towards their users.
Define where to draw the line between assistance and manipulation.
",,,,,1,,,
45,BEHAVIOUR DESIGN,TOOLS,NUDGE,"The NUDGE framework is a set of principles that help designers influence decisions made by people. The framework states that while people should have the freedom to make their own choices, they should also be provided assistance that allows them to make better decisions. This approach to designing people’s choices is broadly called ‘Choice Architecture’. The framework was first proposed by Nobel prize winning economist, Richard Thaler.",The NUDGE Framework is best used to influence moments where people are making a clear choice/decision. It may not be suited to changing ingrained attitudes and behaviours that may not have clear ‘choice moments’.,60-90 Min,"Help people make decisions when they have multiple choices and do not fully appreciate the true costs and benefits of their actions.
Help people make decisions when they struggle with genuinely complex choices that require a high degree of reflection, fact finding, analysis, etc.
Help them make decisions that are rare in nature and are not informed by their own experiences.
Help make decisions when people need feedback on current decisions.
","Familiarise yourself: Read through the various boxes in the NUDGE template. The top is where the decision that is in focus needs to be noted.
Get started: Start by calling out the persona of the target user (you can use a previously filled out persona template). Go through the NUDGE actions thereafter. Fill the middle column first, and then go to the right side.
Complete: Note down your thoughts and ideas for each of the NUDGE actions in the relevant boxes in the rightmost column.
Prioritise: Once the worksheet is completed, discuss and prioritise ideas that could be experimented with.
","The ‘Choice/Decision Moment’ section is meant to note down the decision that is being designed for. What is happening currently?, can be noted in the ‘Current Choice/Decision’ box, and the intended action in the ‘Desired Choice/Decision’ box.
The ‘User/Stakeholder Persona/Profile’ box is for making a note of the key attributes; needs, attitudes, behaviours, etc. that describe the person who is making the choice.
‘Investigate Incentives’ is the section where designers can list potential incentives for users that can work as the nudge. Incentives can be monetary, social recognition, personal growth, etc. Designers are to decide how these incentives are offered and communicated.
‘Understand Choices’ is a nudge approach where designers are able to communicate the costs vs. benefits of the different choices to the user, and therefore influence choice. For this to happen, the costs and benefits of different decisions need to be mapped first, and then prioritised based on what is most important for users.
‘Consider Defaults’ is a nudge approach where designers set defaults on the product or service that are closest to a desired choice. An evaluation of moments where defaults are required, and how they will be set needs to be done.
‘Give Feedback’ is a nudge approach where designers decide on points in the decision making process where proactive feedback can help the user make the correct choice. An evaluation of the kind of feedback, and how it will be communicated needs to be done by designers.
‘Expect Errors’ is a nudge approach where designers accommodate the most common errors made by users at the time of decision into the design of the product or service, not to minimise error but to absorb and move forward with common errors. An evaluation of what these common errors are, and how they can be accommodated needs to be done.
","At the start: Make sure participants understand the goal of the activity and the direction. Refer to facilitation questions if they are feeling stuck.
During the exercise: Start with participants discussing the prospect of influencing choice and instances where their own decisions could have been improved with help. Go through the NUDGE framework step by step.
At the close: Have participants walk you through the worksheet once they have created, and probe them on the nudges they have considered, and how they could put them into action.
","Think about your product or service solution; What are some moments when a user is making a choice? Can you list the moments down?
What is the critical user choice to focus on? Why is it important for you?
What are the different options in front of the user when they are making the choice? Why do you think they make the current choice?
What are the incentives that influence behaviour? What could be some incentives to try?
What are the different kinds of costs and benefits involved with the choices? How could you communicate these to the user?
What is the default setting closest to the desired choice? How could you set this default?
How can the user benefit from feedback? What kind of feedback would this be? How would you provide it?
What are the kind of errors people make most commonly? What can you do to address and accommodate these errors?
",,1,https://www.youtube.com/watch?v=jVTg3ZsNTTY,NUDGE Framework | BVA
46,BEHAVIOUR DESIGN,TOOLS,SWITCH Framework,"The Switch Framework is widely used to guide behaviour change approaches, especially in the behaviour change communication domain. The model proposes that there are three elements of behaviour; the rational side (The Rider), the emotional side (The Elephant), and the environment (The Path); and that one can change behaviour if interventions take these three elements into account. The framework was proposed by Chip Heath and Dan Heath in their book - Switch: How to Change Things When Change Is Hard.","While the SWITCH model is great in terms of highlighting different aspects of how behaviour change can be approached, it is dependent on a robust understanding of behaviours and motivations in the first place. Without the understanding, it is likely that the interventions designed will end up tackling superficial symptoms and not the root cause.",60-90 Min,"Familiarise yourself: Read through the various boxes in the SWITCH template. At the top is where the current behaviour and the desired behaviour are to be noted.
Get started: Start with the Rider, and map out ideas and thoughts under each of the three sub aspects. Follow the same process for Elephant and Rider.
Refine & Review: See how the different aspects are connected to each other. Discuss a comprehensive strategy that builds on the three elements.
","Familiarise yourself: Read through the various boxes in the SWITCH template. At the top is where the current behaviour and the desired behaviour are to be noted.
Get started: Start with the Rider, and map out ideas and thoughts under each of the three sub aspects. Follow the same process for Elephant and Rider.
Refine & Review: See how the different aspects are connected to each other. Discuss a comprehensive strategy that builds on the three elements. ","The framework provides three broad elements that account for logical (Rider), emotional (Elephant), and environmental (Path) aspects of behaviour change.
‘Direct The Rider’: Behaviour change can happen when we provide crystal clear direction to the ‘rational side’ (The Rider) of a person who is to adopt a behaviour. To be able to appeal to the rational side, one can follow three strategies; 1) Follow The Bright Spots - Build on existing positive behaviours and success stories, learn from people with positive behaviours, and use that to influence others and design interventions 2) Script the Critical Moves - Dissolve the resistance by breaking down the change into specific tasks, identify clear actions that can be implemented, and how they contribute to change 3) Point to the Destination - Create a specific goal that people can work towards and respond to, define an end state that is logical and worth aspiring to.
‘Motivate The Elephant’: Behaviour change can happen when we engage a person’s emotions (The Elephant). To appeal to people’s ‘emotional’ side, one can follow three strategies; 1) Find the Feeling - Make people feel positively inspired to change, identify what motivations exist and how they can be enhanced 2) Shrink The Change: Break down seemingly large complex change into simple, small steps until it no longer seems daunting 3) Grow Your People: Identify skills, knowledge, resources, tools, rewards etc. that can help equip people for change.
‘Shape The Path’: Behaviour change can happen when one changes the context (The Path) in which action is happening. To be able to create an enabling ‘environment’, one can follow three strategies; 1) Tweak the Environment: Tweak elements in the physical environment that are bottlenecks, and/or introduce new elements that can enable desired behaviour 2) Build Habits: Translate behaviour change into habits by identifying ways to make desired behaviour repeatable and consistent, provide for cycles of learning 3) Rally the Herd: Get change recognised and supported by other people, identify ways to inform and involve groups in the change process.
","At the start: Make sure participants understand the goal of the activity and the direction. Refer to facilitation questions if they are feeling stuck.
During the exercise: Start with participants’ understanding of current behaviours being displayed, and discuss the behaviour change desired. Discuss the three components of behaviour change from the SWITCH Framework; rational (Rider), emotional (Elephant), and environmental (Path).
At the close: Have participants walk you through the worksheet, and probe them on what a comprehensive strategy looks like.
","What is the behaviour change you are focusing on? Why is that your focus?
Are you looking to create behaviour change through your product or service? Or, are you looking to change the way people interact with your product or service?
Why do you think it is important to appeal to people’s rational side? How do you want to do it? Are there any bright spots or current positive behaviours you can learn from?
What specific behaviours do you want people to adopt? How can you break change down into logical steps with clear impact?
What is the end goal or state you want people to work towards?
How are you appealing to people's emotions?
How are you making it easy, what is the first step you want people to take?
How are you encouraging people to change? How are you preparing them and equipping them?
What do you want to change about the environment? Will you need new resources or will you use currently available resources in a new way?
How can desired behaviour be made repeatable? Does your success depend on desired behaviour become a habit?
How will you involve other people in the change process? How will you target and grow a base of early adopters?
",,1,https://www.youtube.com/watch?v=X9KP8uiGZTs,SWITCH Framework | Rare
47,BEHAVIOUR DESIGN,TOOLS,Hook Model,"The Hook Model is a tool used to design for frequent and engaged use of products, services and systems by users. The model focuses on identifying ways to make the user experience simpler, more engaging, and more rewarding so that users keep returning to a product or service. For a business, habit based products or services are more efficient, offer business predictability, and generate greater customer lifetime value. The model was put forward by Nir Eyal in his book, Hooked.",The Hook Model was developed based on learnings of user behaviour on online platforms and social networking sites. It may therefore come across as a limited framework in some contexts.,90-120 Min,"Identify a strategy to encourage users to come back to a product or service after they have used it for the first time.
Identify a strategy to encourage users to keep using a product or service over time.
Identify a strategy to encourage habits and repeated behaviour in any context.
","Familiarise yourself: Read through the various boxes of the Hook Model and consider how these may apply to a current or proposed product or service.
Map for first time/new users: Begin by considering how a first time or new user is being taken through the steps. Start by mapping the current journey, and then identify gaps.
Map for existing users: Next, consider an existing user who can potentially stay with the product or service for a long time. Map the current journey, and then identify gaps.
Brainstorm and discuss: Based on the gaps identified for new and current users, identify potential solutions to experiment with.
","There are four major components of the HOOK Model - Triggers, Action, Rewards and Investment.
‘Triggers’: Things that prompt users to interact with a product/service. There are two types - 1) Internal Triggers associated with basic emotions (such as boredom, loneliness, excitement), and routines (such as reading, budgeting, seeking a deal) that users are trying to address. If a product or service is closely associated with an emotion or routine, that association functions as the trigger 2) External Triggers: Triggers focused on marketing and communication that influence customers. There are four types of external triggers - A) Paid Triggers: Advertising, search engine marketing, and other paid channels B) Earned Triggers: Things like press mentions, awards, viral online stories, etc. that are not paid for C) Relationship Triggers: Recommendations from customers, communities, and partners D) Owned Triggers: Triggers that use the company's own channels once a user has signed up or made a purchase (like app icons, notifications, newsletters, etc.).
‘Action’: Things that minimise users’ efforts and increase ease of use of a product or service, bring users back. There are six elements to minimising effort - 1) Time: Reduce the time it takes to start using a product or service 2) Money: Reduce the monetary cost for users 3) Physical effort: Reduce the amount of labour involved in use 4) Brain cycles: Reduce the level of mental effort and focus required to use 5) Social deviance: Reduce the resistance the use faces from the user’s personal network 6) Non-routine: Reduce the level to which the use disrupts existing routines.
‘Variable Rewards’: Things that incentivise and engage users to use a product or service. Variable rewards are incentives that vary (are unpredictable) because variance tends to keep users engaged. There are three fundamental types of rewards - 1) Reward of the Tribe: Rewards that focus on social participation, and recognition 2) Reward of the Hunt: Rewards that focus on material, and informational benefit 3) Reward of the Self: Rewards that focus on self development, and personal growth.
‘Investment’: Things that get users to invest time, resources and effort, and therefore associate value in a product and service. There are five main ways in which users can become invested - 1) Content: Users stay if they create and store content that they value 2) Data: Users stay if they share and link information (like KYC) that they would rather not share again if not essential 3) Network: Users stay if they become a part of a valued community; as a follower, a friend, as someone with followers. 4) Reputation: Users stay when they have a positive reputation within a community 5) Skill: Users stay if they develop skill or knowledge that they value.
","At the start: Make sure participants understand the goal of the activity and the direction. Refer to facilitation questions if they are feeling stuck.
During the exercise: Start with a discussion focused on why habit-forming products and services are important. Walk teams through the tool, and move along the four stage cycle. Ask teams to map what they do currently, identify gaps, and think of ideas that strengthen each phase of the cycle.
At the close: Have participants walk you through the worksheet, and probe them on their mapping.
","Why is creating a habit around your product or service important?
What is the fundamental need you are solving for? Is that important enough to be an internal trigger?
How are you thinking of creating stickiness for a new/first time user? How are you thinking of creating stickiness for an existing user?
What kind of triggers have you considered currently? What have you not considered? How have you used external triggers? How can you improve them?
How easy is it for first time and existing users to use your product or service? What can be eased, based on your understanding of what their needs are? Are there examples that you can learn from?
How are users being rewarded? Is the reward evident? Is there variability and unpredictability? Are you considering the three types of rewards?
How are you ensuring that users stay invested in your product/service? What kind of investments do you want them to make? Will asking users to invest impact ease and trust negatively?
Are you encouraging useful, positive habits for your users, or are you thinking only from your perspective?
",,1,https://www.youtube.com/watch?v=-jXM4NymIcA,How to Build Habit-Forming Products | Nir Eyal
48,BEHAVIOUR DESIGN,TOOLS,Gamification Board,Gamification is a concept that borrows from techniques that game designers use to engage players. It applies the same kind of approach to non-game experiences — to motivate and engage users. The Gamification Board is a tool that helps designers think through the application of gamification principles as part of their product or service experience.,"Gamification is often looked at as a comprehensive answer to all customer engagement needs. However, it is only one type of approach, and should be used sparingly and thoughtfully. Gamification does not guarantee better customer engagement, especially if the core value proposition and experience are weak.",60-90 Min,"Create a new service or product experience with gamified elements as a way to differentiate experience.
Introduce gamification as a part of the current product or service experience as a way to improve engagement.
Note: The Gamification Board is a starting point for actual gamified elements to be designed, and tested as prototypes - It is in a sense a planning and scoping tool.
","Familiarise yourself: Read through the template and discuss the broad goal of gamification.
Identify game dynamics: Choose the game dynamics that you want to create. List out why these dynamics are important to create and how they will be created.
Map missions, levels and tasks: Break down the game dynamics into missions, levels and tasks that users will have to complete as a way of participating in the gamified experience.
Identify points, badges and leaderboards: List out when, why and how many points and badges will be awarded to users for participating in missions, levels, and tasks. Outline how leaderboards and dashboards will be used to inform users.
Review and discuss: Discuss the gamified concept that can be derived from the board.
","‘Broad Goal’ is the core strategic reason gamification is being chosen as a strategy; Increasing engagement, forming habits, differentiating experience, etc. could be some goals to consider.
‘Game Dynamics’ are the strategies that designers use to realise gamification. Among these are - 1) Competition: Creating a sense of competition at individual and team level 2) Collaboration: Creating a sense of community and collaboration among users 3) Progress & Achievement: Offering journeys that signify growth and evolution for individuals and teams 4) Exploration and Surprise: Creating unpredictability and sense of adventure through gamification.
‘Game Mechanics’ are specific tactics that help designers realise game dynamics. Among these are - 1) ‘Missions’: Create a sense of progress, and help navigate users towards a desired end state. For example, financial planning could be broken down into short term, mid term and long term missions 2) ‘Levels’: Stages into which Missions are broken down. For example, financial planning may have levels such as basic, adequate, excellent 3) ‘Tasks’: Activities within levels that need to be completed to move from one Level to another, and to complete Missions. For example, planning in the short term may mean investing $200 in deposits, insurance, equity funds etc 4) ‘Points’: Scores assigned for completion of tasks, levels, and missions. For example, 100 points for every $10 invested. 5) ‘Badges’: Indicators of accomplishment that go beyond points. For example, someone who invests regularly could get a badge of ‘responsible investor’ 6) ‘Leaderboards’: Dashboards that show where individuals and teams stand vis-a-vis each other in terms of points, badges, progress level, etc.
","At the start: Make sure participants understand the goal of the activity and the direction. Refer to facilitation questions if they are feeling stuck.
During the exercise: Start with a discussion on gamification and the teams’ awareness of the concept. Take the participants through the broad framework, and engage them in discussion on how gamification may or may not be relevant to them.
At the close: Have participants walk through the worksheet, and probe them on how they could translate their broad strategy into prototypes and experiments.
","What do you understand by gamification? Are there aspects of your current solution that you would say are gamified? Have you seen or experienced any gamification? What can you learn from there?
Are you planning to gamify what you do currently? Or are you using this as an opportunity to completely rethink the way the solution is structured?
What are the biggest risks in the adoption of gamification? Will it distract you and the user?
What is the broad goal for gamification of your solution? How does the broad goal translate into choice of game dynamics?
Which game mechanics do you intend on using?
What are the most important missions you want users to complete? Will these missions be engaging and meaningful for users?
How are you breaking down missions into specific levels and tasks? Why are the tasks important for you?
How are you awarding points and badges to users? Are they exciting and valuable?
What kind of leaderboards are you considering?
How will you communicate with users? How will you let them know that your solution is gamified?
",,1,https://www.youtube.com/watch?v=fY-I4TymOdE,Social Media and Gamification | NNgroup
49,NETWORK BUILDING,PITCHING,Pitch Prep,"Creating a pitch deck is a great way to get teams to concisely convey what they are proposing to work on, or have already created.",Creating a strong pitch is a matter of iteration. Informed and consistent feedback should be provided to teams as they go about building their decks. Ample opportunities to practice should also be provided.,30 Min,"Create a precise, and powerful pitch deck.
Fine-tune participants' pitching approach.
",,,,,1,,https://www.alexanderjarvis.com/a-storytelling-pitch-exercise-improv-artists-use-which-can-help-you-raise/,Storytelling Pitch Exercise | Alexander Jarvis
50,NETWORK BUILDING,PITCHING,Deck Design Guidelines,"The Deck Design Guidelines are a collection of best practices, and principles for the design of visually appealing presentations and pitches.","The Guidelines are a starting point and limited set of best practices. While they help ensure basic readability, visual balance and neatness, for customised and rich visual storytelling, teams may want to work with professional designers.",15 Min,"Create visually legible and appealing presentations.
 
",,,,,1,,https://www.youtube.com/watch?v=SB16xgtFmco,Pitch Design Guideline | Slidebean
51,NETWORK BUILDING,NETWORKING,Mentor Check-in,"Mentor Check-Ins enable program participants to receive input from industry professionals who have faced similar challenges or have specific skills and insight. Mentors can help guide participants on diverse aspects such as business strategy, product-market fit, marketing, scaling, etc.","Participants draw value from mentorship when mentors have relevant experiences and knowledge to share. The quality of mentor recruitment, and the access teams have to mentors are critical factors to consider.",60 Min,"Connect innovators to experts that can help define challenges and opportunities.
Connect innovators to experts that can help create and implement solutions.
","Do your research: Before choosing a mentor to reach out to, consider which ones are most likely to have relevant inputs. Check availability and commitment as you establish contact.
Meet with mentor: Make sure the mentor has all the information they need about you before the meeting. On your end, prepare a few key questions you'd like to discuss, and try and send these over to the mentor before the meeting.
Keep in touch: If a valuable relationship starts, make sure to keep them in the loop about your progress.
","The template provided is only meant to be a representative agenda for a mentor-participant discussion. Reasonable time must be allocated to each part of the conversation.
It is important that at least in the first conversation, participants introduce themselves and their role in the organisation they are representing. A script for this can be noted in the ‘Introduce yourself’ section.
The ‘Present your product or service’ is the core of mentor-participant conversation. This could be done using a pitch deck or a business plan document, at least for the first time.
‘Collect feedback’ is the part of the conversation in which participants can share points they'd like feedback on. Based on the theme of the conversation, mentors are likely to have their own questions and inputs at this stage.
","Prior to the session: Help make the mentor-participant connect. If happening offline at a workshop, this should be easier. However, if the mentors and participants are coordinating online, ensure that each participant has found at least one relevant mentor to speak to.
During the check-in: If this is part of a workshop, and participants and mentors are networking, ensure that participants get to speak to relevant mentors, and get enough time with mentors.
At the close: Have mentors and participants share their feedback on the experience.
","Are we all prepared with documents (pitch decks or plans) that we want to receive mentor feedback on?
Have you identified mentors that you think are critical for you to speak to?
What do you want to focus on in your conversations with mentors?
Do you want to receive dedicated feedback from one mentor or quick feedback from multiple mentors?
Can we all please stick to the time-slots? Does anyone have an issue with the slots?
How did the feedback differ across mentors? What was the best piece of advice you received today?
Will you be speaking to the mentors again sometime?
Do you have any feedback for the mentors?
",,,,
